,Referenzjahr,Stations_id,observed time emergence to beginning of flowering,observed time emergence to yellow ripeness,lat,lon
0,,,,,,
24455,2017.0,7532.0,80.0,134.0,54.4,8.7667
24456,2017.0,7564.0,80.0,128.0,54.7167,9.95
24457,2017.0,7592.0,76.0,,53.4833,10.6333
24458,2017.0,7616.0,76.0,139.0,54.6167,8.9667
24459,2017.0,7623.0,74.0,120.0,54.6667,9.1333
24460,2017.0,7642.0,70.0,,54.2333,11.0833
24461,2017.0,7646.0,73.0,,54.25,10.8333
24462,2017.0,7650.0,76.0,144.0,54.1,10.8167
24463,2017.0,7662.0,68.0,138.0,53.7333,9.7833
24464,2017.0,7676.0,85.0,138.0,54.1167,10.4833
24465,2017.0,7682.0,71.0,,54.3167,10.5
24466,2017.0,7697.0,79.0,,54.1167,10.1667
24467,2017.0,7700.0,67.0,142.0,54.1667,10.05
24468,2017.0,7711.0,67.0,,54.0833,9.65
24469,2017.0,7721.0,63.0,,54.1167,9.4333
24470,2017.0,7730.0,63.0,136.0,54.6167,9.8333
24471,2017.0,7736.0,78.0,127.0,54.55,9.4
24472,2017.0,7737.0,68.0,,54.4167,9.5167
24473,2017.0,7743.0,70.0,,54.35,9.2167
24474,2017.0,7770.0,80.0,,53.9333,10.2
24475,2017.0,7786.0,88.0,139.0,53.7333,10.2667
24476,2017.0,7798.0,72.0,131.0,53.8667,10.3333
24477,2017.0,7799.0,73.0,,53.6167,10.4167
24478,2017.0,7807.0,71.0,121.0,54.15,9.0667
24479,2017.0,7812.0,77.0,134.0,53.9833,9.1167
24480,2017.0,7824.0,81.0,115.0,54.7333,8.4333
24481,2017.0,7844.0,67.0,131.0,53.6,10.1833
24482,2017.0,7849.0,63.0,117.0,52.7,8.5
24483,2017.0,7857.0,68.0,137.0,52.6,8.8333
24484,2017.0,7865.0,71.0,131.0,52.5667,8.5667
24485,2017.0,7881.0,66.0,127.0,52.85,9.1833
24486,2017.0,7910.0,55.0,,52.3,9.5
24487,2017.0,7920.0,70.0,141.0,52.5333,9.4667
24488,2017.0,7923.0,73.0,,52.4,9.45
24489,2017.0,7943.0,76.0,124.0,52.5,8.9833
24490,2017.0,7946.0,73.0,131.0,52.7167,9.25
24491,2017.0,7956.0,63.0,130.0,52.45,9.4
24492,2017.0,7957.0,78.0,125.0,52.2333,9.1167
24493,2017.0,7965.0,65.0,120.0,52.1667,9.4333
24494,2017.0,7990.0,66.0,116.0,51.5333,10.1833
24495,2017.0,7991.0,66.0,,51.6167,10.2167
24496,2017.0,7998.0,65.0,114.0,51.8,9.7
24497,2017.0,8007.0,69.0,,51.55,10.0667
24498,2017.0,8008.0,74.0,125.0,52.0167,10.1333
24499,2017.0,8064.0,66.0,119.0,51.8167,10.0667
24500,2017.0,8091.0,71.0,120.0,52.55,9.7667
24501,2017.0,8101.0,88.0,145.0,52.8167,9.9667
24502,2017.0,8104.0,76.0,,52.7344,10.2244
24503,2017.0,8135.0,67.0,107.0,52.95,9.5333
24504,2017.0,8151.0,63.0,133.0,52.5333,10.35
24505,2017.0,8164.0,76.0,112.0,52.65,10.4333
24506,2017.0,8175.0,80.0,107.0,53.45,9.7333
24507,2017.0,8228.0,69.0,,53.0,11.1513
24508,2017.0,8255.0,67.0,,53.1,10.0667
24509,2017.0,8256.0,79.0,,52.9333,10.15
24510,2017.0,8260.0,66.0,129.0,53.0333,9.8333
24511,2017.0,8261.0,67.0,,53.1333,10.6
24512,2017.0,8279.0,71.0,,52.8,10.6333
24513,2017.0,8282.0,65.0,130.0,52.9,10.45
24514,2017.0,8293.0,70.0,,53.4833,9.1333
24515,2017.0,8294.0,66.0,141.0,53.25,9.3833
24516,2017.0,8301.0,61.0,111.0,53.45,9.1167
24517,2017.0,8304.0,76.0,123.0,53.8167,8.7667
24518,2017.0,8333.0,65.0,125.0,53.0667,9.3167
24519,2017.0,8348.0,70.0,124.0,53.5667,9.5167
24520,2017.0,8360.0,65.0,135.0,53.5167,9.4833
24521,2017.0,8392.0,67.0,127.0,53.4167,8.5833
24522,2017.0,8400.0,73.0,,53.1,7.2167
24523,2017.0,8402.0,74.0,141.0,52.9667,7.7667
24524,2017.0,8420.0,55.0,,52.4167,7.7333
24525,2017.0,8426.0,61.0,109.0,52.3,7.1167
24526,2017.0,8430.0,71.0,110.0,52.2833,7.2833
24527,2017.0,8452.0,69.0,115.0,52.7667,7.5
24528,2017.0,8459.0,82.0,129.0,52.25,7.95
24529,2017.0,8467.0,76.0,,52.3167,8.0333
24530,2017.0,8531.0,84.0,151.0,53.5333,7.7
24531,2017.0,8535.0,70.0,125.0,53.65,7.6167
24532,2017.0,8558.0,64.0,,52.9667,9.0167
24533,2017.0,8584.0,66.0,122.0,52.3667,10.9333
24534,2017.0,8585.0,83.0,140.0,52.2333,11.0167
24535,2017.0,8594.0,49.0,125.0,52.2833,10.75
24536,2017.0,8616.0,64.0,124.0,53.15,8.2
24537,2017.0,8631.0,96.0,,53.2,7.9833
24538,2017.0,8644.0,69.0,120.0,52.7333,7.7667
24539,2017.0,8652.0,79.0,,53.6833,7.9333
24540,2017.0,8653.0,85.0,146.0,53.5833,7.9
24541,2017.0,8666.0,68.0,,53.4167,7.9833
24542,2017.0,8670.0,69.0,132.0,53.1,8.5333
24543,2017.0,8675.0,79.0,135.0,53.0667,8.1667
24544,2017.0,8695.0,71.0,133.0,53.3333,8.2167
24545,2017.0,8723.0,70.0,,51.3833,6.6
24546,2017.0,8759.0,82.0,133.0,51.2833,6.2
24547,2017.0,8772.0,70.0,84.0,51.7,6.1667
24548,2017.0,8776.0,68.0,114.0,51.7833,6.0167
24549,2017.0,8779.0,85.0,124.0,51.6667,6.2667
24550,2017.0,8810.0,60.0,109.0,51.5167,6.4
24551,2017.0,8817.0,69.0,115.0,51.45,6.6333
24552,2017.0,8822.0,57.0,122.0,51.5833,6.5333
24553,2017.0,8824.0,61.0,,51.65,6.6167
24554,2017.0,8841.0,66.0,,50.7667,7.1333
24555,2017.0,8849.0,58.0,,50.6667,6.8
24556,2017.0,8851.0,62.0,,50.6833,6.6667
24557,2017.0,8894.0,91.0,138.0,51.1,7.3833
24558,2017.0,8906.0,61.0,123.0,51.0667,7.3167
24559,2017.0,8917.0,67.0,119.0,50.9,7.4
24560,2017.0,8932.0,64.0,129.0,50.8167,6.2667
24561,2017.0,8934.0,65.0,114.0,50.7833,6.2
24562,2017.0,8940.0,59.0,,50.8,6.4167
24563,2017.0,8958.0,69.0,121.0,50.8833,6.45
24564,2017.0,8990.0,67.0,112.0,50.9167,6.1167
24565,2017.0,9005.0,69.0,98.0,52.1167,7.1167
24566,2017.0,9012.0,70.0,131.0,51.7,7.8333
24567,2017.0,9015.0,64.0,114.0,51.8042,8.2049
24568,2017.0,9030.0,68.0,126.0,51.8333,7.3
24569,2017.0,9055.0,71.0,,52.15,7.3333
24570,2017.0,9057.0,63.0,109.0,52.15,7.6
24571,2017.0,9068.0,62.0,115.0,52.1333,7.7333
24572,2017.0,9074.0,66.0,125.0,52.2667,7.7833
24573,2017.0,9080.0,61.0,119.0,51.95,7.9833
24574,2017.0,9087.0,61.0,116.0,51.5833,7.0667
24575,2017.0,9131.0,57.0,121.0,52.05,8.3667
24576,2017.0,9143.0,75.0,121.0,52.15,8.8
24577,2017.0,9164.0,72.0,,52.1,8.9333
24578,2017.0,9169.0,61.0,135.0,52.4167,8.6167
24579,2017.0,9180.0,71.0,131.0,52.3,8.9167
24580,2017.0,9182.0,71.0,131.0,52.3333,8.75
24581,2017.0,9198.0,71.0,139.0,51.7333,8.6833
24582,2017.0,9200.0,69.0,135.0,51.7333,8.7167
24583,2017.0,9202.0,67.0,,51.5833,9.25
24584,2017.0,9203.0,65.0,123.0,51.5833,9.3
24585,2017.0,9233.0,76.0,123.0,51.1167,7.75
24586,2017.0,9241.0,69.0,,51.35,7.95
24587,2017.0,9256.0,69.0,106.0,51.2,8.7
24588,2017.0,9268.0,63.0,124.0,51.6333,8.5167
24589,2017.0,9273.0,60.0,123.0,51.5333,8.2833
24590,2017.0,9278.0,70.0,107.0,51.35,8.3333
24591,2017.0,9291.0,71.0,147.0,51.15,8.2833
24592,2017.0,9309.0,53.0,113.0,50.7167,8.15
24593,2017.0,9319.0,85.0,,50.9167,8.1
24594,2017.0,9326.0,68.0,119.0,51.4996,8.0539
24595,2017.0,9372.0,65.0,,51.4333,7.5833
24596,2017.0,9374.0,79.0,152.0,51.5833,7.6667
24597,2017.0,9401.0,72.0,119.0,49.6667,8.65
24598,2017.0,9416.0,68.0,,50.45,9.1333
24599,2017.0,9429.0,57.0,117.0,49.8,8.6
24600,2017.0,9435.0,48.0,,49.9023,8.8382
24601,2017.0,9436.0,76.0,119.0,49.8667,9.0167
24602,2017.0,9455.0,64.0,119.0,49.7333,9.0
24603,2017.0,9456.0,70.0,120.0,49.6833,9.0
24604,2017.0,9461.0,60.0,108.0,49.7167,8.8333
24605,2017.0,9462.0,62.0,116.0,49.7833,9.0333
24606,2017.0,9490.0,64.0,105.0,50.5167,8.8167
24607,2017.0,9499.0,64.0,103.0,49.75,8.4833
24608,2017.0,9500.0,59.0,,49.9167,8.4833
24609,2017.0,9502.0,45.0,125.0,49.9953,8.5685
24610,2017.0,9522.0,46.0,,50.05,8.9333
24611,2017.0,9530.0,64.0,129.0,50.1167,8.9167
24612,2017.0,9536.0,74.0,121.0,51.1833,10.1167
24613,2017.0,9542.0,78.0,128.0,51.2167,10.0167
24614,2017.0,9550.0,63.0,,50.9833,8.7333
24615,2017.0,9568.0,78.0,,51.0333,9.4
24616,2017.0,9571.0,67.0,,50.9833,9.2667
24617,2017.0,9593.0,70.0,124.0,50.5667,9.7667
24618,2017.0,9610.0,60.0,,50.8667,9.7
24619,2017.0,9619.0,66.0,,51.4833,9.25
24620,2017.0,9621.0,64.0,,51.4,9.4667
24621,2017.0,9634.0,72.0,,50.75,9.8167
24622,2017.0,9646.0,69.0,130.0,51.2833,9.6
24623,2017.0,9647.0,63.0,,51.2833,9.6333
24624,2017.0,9651.0,61.0,,51.2333,9.5667
24625,2017.0,9663.0,75.0,,50.6833,8.6
24626,2017.0,9698.0,66.0,121.0,51.0167,9.9333
24627,2017.0,9719.0,58.0,132.0,51.3167,8.7333
24628,2017.0,9730.0,82.0,134.0,51.3333,8.9
24629,2017.0,9732.0,63.0,116.0,51.4667,9.0167
24630,2017.0,9764.0,49.0,125.0,51.45,9.25
24631,2017.0,9768.0,74.0,,51.241,9.2629
24632,2017.0,9777.0,63.0,119.0,50.8667,9.4667
24633,2017.0,9794.0,65.0,,50.05,8.3
24634,2017.0,9810.0,56.0,108.0,50.6833,8.3
24635,2017.0,9833.0,62.0,115.0,50.15,8.75
24636,2017.0,9838.0,63.0,,50.15,9.0167
24637,2017.0,9845.0,65.0,121.0,50.3167,8.15
24638,2017.0,9848.0,62.0,131.0,50.3833,8.0333
24639,2017.0,9867.0,54.0,103.0,50.2,8.5833
24640,2017.0,9923.0,70.0,127.0,50.5333,8.5
24641,2017.0,9954.0,67.0,,50.6833,7.6833
24642,2017.0,9968.0,68.0,143.0,49.6333,7.2833
24643,2017.0,9982.0,70.0,136.0,50.1833,7.0333
24644,2017.0,10000.0,76.0,,49.8667,7.65
24645,2017.0,10010.0,78.0,115.0,50.3,7.1667
24646,2017.0,10016.0,50.0,97.0,50.6667,7.4333
24647,2017.0,10024.0,73.0,132.0,50.5667,7.6167
24648,2017.0,10040.0,66.0,,49.9833,7.6
24649,2017.0,10045.0,65.0,126.0,49.9667,7.3
24650,2017.0,10050.0,88.0,133.0,49.7333,6.65
24651,2017.0,10067.0,63.0,110.0,49.9667,6.5
24652,2017.0,10086.0,69.0,126.0,50.3,6.7333
24653,2017.0,10091.0,77.0,122.0,50.2833,6.6333
24654,2017.0,10093.0,71.0,,50.2,6.4167
24655,2017.0,10117.0,66.0,118.0,49.7,6.9167
24656,2017.0,10149.0,71.0,120.0,50.1333,7.75
24657,2017.0,10170.0,71.0,128.0,50.4333,7.8333
24658,2017.0,10176.0,67.0,99.0,49.6333,8.3667
24659,2017.0,10216.0,76.0,129.0,49.0333,8.0
24660,2017.0,10230.0,41.0,117.0,49.5,7.9167
24661,2017.0,10247.0,78.0,,49.45,7.3167
24662,2017.0,10261.0,66.0,125.0,49.2667,8.2167
24663,2017.0,10268.0,65.0,119.0,49.4571,8.2892
24664,2017.0,10288.0,49.0,109.0,49.2939,7.6128
24665,2017.0,10295.0,60.0,,49.5833,7.7667
24666,2017.0,10323.0,54.0,,48.8442,10.0865
24667,2017.0,10326.0,64.0,104.0,49.0167,10.2167
24668,2017.0,10330.0,65.0,123.0,48.75,10.3333
24669,2017.0,10353.0,62.0,118.0,48.7,9.0
24670,2017.0,10360.0,72.0,120.0,49.25,9.95
24671,2017.0,10364.0,64.0,121.0,49.1333,10.2333
24672,2017.0,10396.0,61.0,131.0,49.2167,9.1
24673,2017.0,10402.0,49.0,105.0,49.2333,9.2
24674,2017.0,10416.0,55.0,,49.3833,9.7
24675,2017.0,10422.0,71.0,114.0,48.8667,9.0333
24676,2017.0,10432.0,69.0,,49.05,9.1
24677,2017.0,10444.0,74.0,,49.4333,10.1167
24678,2017.0,10445.0,69.0,110.0,49.5333,9.85
24679,2017.0,10450.0,63.0,112.0,49.5333,9.9
24680,2017.0,10458.0,60.0,109.0,48.65,9.4667
24681,2017.0,10461.0,64.0,113.0,48.65,9.5333
24682,2017.0,10470.0,60.0,,49.15,9.6167
24683,2017.0,10487.0,62.0,98.0,49.0833,9.8833
24684,2017.0,10492.0,61.0,,48.55,9.8
24685,2017.0,10498.0,56.0,110.0,48.9667,8.9667
24686,2017.0,10526.0,60.0,130.0,49.1,8.65
24687,2017.0,10541.0,82.0,111.0,49.5333,9.55
24688,2017.0,10542.0,68.0,99.0,49.5333,9.3167
24689,2017.0,10549.0,57.0,101.0,49.4667,9.5833
24690,2017.0,10556.0,70.0,,49.3333,8.75
24691,2017.0,10564.0,39.0,116.0,49.2667,8.75
24692,2017.0,10570.0,63.0,144.0,49.0333,8.7
24693,2017.0,10572.0,64.0,121.0,49.0833,8.3833
24694,2017.0,10573.0,73.0,128.0,48.9436,8.4038
24695,2017.0,10574.0,57.0,120.0,48.9667,8.3167
24696,2017.0,10583.0,64.0,101.0,49.4,8.5333
24697,2017.0,10593.0,92.0,138.0,49.55,8.6833
24698,2017.0,10597.0,68.0,121.0,49.4667,9.2167
24699,2017.0,10600.0,66.0,113.0,49.4167,9.2833
24700,2017.0,10606.0,55.0,119.0,48.9,8.5667
24701,2017.0,10619.0,69.0,105.0,49.3333,8.95
24702,2017.0,10622.0,63.0,111.0,49.0833,8.85
24703,2017.0,10643.0,61.0,119.0,49.6667,9.65
24704,2017.0,10645.0,67.0,113.0,49.75,9.4833
24705,2017.0,10651.0,60.0,117.0,48.7,8.1333
24706,2017.0,10653.0,64.0,118.0,48.6167,8.05
24707,2017.0,10659.0,60.0,121.0,47.95,8.5
24708,2017.0,10662.0,53.0,,47.9167,8.8
24709,2017.0,10672.0,98.0,,48.1333,7.7
24710,2017.0,10700.0,60.0,121.0,47.7333,9.0667
24711,2017.0,10706.0,59.0,99.0,47.8167,8.6667
24712,2017.0,10708.0,54.0,88.0,48.3333,7.8833
24713,2017.0,10725.0,69.0,133.0,47.6,7.6333
24714,2017.0,10729.0,66.0,108.0,47.8667,7.6
24715,2017.0,10731.0,84.0,157.0,47.8167,7.6333
24716,2017.0,10751.0,71.0,122.0,48.5333,8.0833
24717,2017.0,10752.0,73.0,125.0,48.4667,7.95
24718,2017.0,10753.0,64.0,120.0,48.4833,8.1667
24719,2017.0,10767.0,59.0,104.0,47.6,7.8833
24720,2017.0,10775.0,71.0,,48.0,9.0333
24721,2017.0,10786.0,78.0,,47.7667,9.3167
24722,2017.0,10802.0,76.0,,47.7167,8.4333
24723,2017.0,10810.0,61.0,,48.2833,8.0833
24724,2017.0,10812.0,66.0,95.0,48.4167,8.0833
24725,2017.0,10821.0,66.0,,48.2,8.8833
24726,2017.0,10831.0,68.0,124.0,48.0333,9.8
24727,2017.0,10848.0,62.0,134.0,48.2833,9.7167
24728,2017.0,10851.0,64.0,117.0,48.35,9.8167
24729,2017.0,10859.0,71.0,114.0,48.4167,8.4667
24730,2017.0,10869.0,76.0,123.0,48.45,8.6833
24731,2017.0,10886.0,57.0,111.0,47.7667,9.5333
24732,2017.0,10891.0,66.0,,48.4,9.2
24733,2017.0,10906.0,82.0,127.0,47.9333,9.55
24734,2017.0,10920.0,62.0,112.0,48.0167,9.25
24735,2017.0,10937.0,83.0,,48.5333,9.05
24736,2017.0,10954.0,58.0,,48.05,10.8833
24737,2017.0,10962.0,66.0,111.0,47.8667,12.1333
24738,2017.0,10968.0,64.0,,48.5833,11.0833
24739,2017.0,10983.0,66.0,120.0,47.85,12.0667
24740,2017.0,11004.0,59.0,,48.05,11.95
24741,2017.0,11009.0,58.0,118.0,48.3167,11.9167
24742,2017.0,11010.0,66.0,,48.2833,11.8333
24743,2017.0,11033.0,69.0,102.0,48.7833,11.2833
24744,2017.0,11073.0,68.0,,48.2,12.4167
24745,2017.0,11076.0,58.0,123.0,48.1167,11.7333
24746,2017.0,11088.0,57.0,,47.75,12.1167
24747,2017.0,11100.0,50.0,,48.45,11.35
24748,2017.0,11101.0,68.0,117.0,48.6333,11.3167
24749,2017.0,11131.0,76.0,125.0,48.0333,12.55
24750,2017.0,11136.0,75.0,111.0,48.15,12.2833
24751,2017.0,11162.0,68.0,,48.8333,12.9667
24752,2017.0,11170.0,60.0,118.0,49.0667,12.6167
24753,2017.0,11172.0,63.0,95.0,48.85,13.15
24754,2017.0,11174.0,72.0,118.0,48.8167,12.8
24755,2017.0,11176.0,73.0,123.0,48.6167,12.5333
24756,2017.0,11193.0,59.0,111.0,48.85,13.3333
24757,2017.0,11203.0,75.0,101.0,48.4,13.3167
24758,2017.0,11211.0,49.0,,48.9,12.0167
24759,2017.0,11214.0,63.0,115.0,49.1333,12.7333
24760,2017.0,11220.0,60.0,100.0,48.5833,12.1833
24761,2017.0,11221.0,75.0,135.0,48.6167,12.2
24762,2017.0,11228.0,58.0,108.0,48.7333,12.3
24763,2017.0,11241.0,60.0,110.0,48.4833,13.4333
24764,2017.0,11243.0,67.0,128.0,48.3,13.15
24765,2017.0,11249.0,59.0,102.0,48.4,13.0
24766,2017.0,11251.0,67.0,129.0,48.9333,13.2
24767,2017.0,11254.0,78.0,127.0,48.9667,13.1333
24768,2017.0,11271.0,60.0,110.0,48.4667,12.5667
24769,2017.0,11272.0,59.0,110.0,48.45,12.35
24770,2017.0,11274.0,56.0,,48.7167,13.2833
